n,R_MC_25000,R_MC_SE,R_MC_CI95_low,R_MC_CI95_high,MTTF_MC,MTTF_MC_SE,MTTF_CI95_low,MTTF_CI95_high,A_theory_25000,A_minus_R,first_failure_rate,revival_candidate_rate,revival_candidate_given_failure,revival_observed_rate,revival_observed_given_failure,revival_observed_SE,mean_revival_delay_hours,is_best_R,is_best_MTTF,enum_total_abs_error
6,0.35135,0.00150964624167386,0.348391093366319,0.354308906633681,25390.7676515902,90.5850721385937,25213.2209101986,25568.3143929819,0.363923845424044,0.012573845424044,0.99854,0.11417,0.114336931920604,0.0598,0.0598874356560578,0.000749826379904042,19040.8256900525,0,0,4.44089209850063e-16
7,0.63527,0.00152217616293253,0.632286534720652,0.638253465279348,44097.2801616857,121.320882796196,43859.4912314051,44335.0690919662,0.645037167987203,0.00976716798720312,0.99448,0.11652,0.11716676051806,0.07266,0.0730633094682648,0.000820856408880384,18765.9661415959,0,0,6.66133814775094e-16
8,0.75518,0.00135971749860035,0.752514953702743,0.757845046297257,55052.243378737,138.024495867414,54781.7153668369,55322.7713906371,0.763238715438786,0.00805871543878589,0.99071,0.09669,0.0975966730930343,0.06987,0.0705251789120934,0.000806152486196005,18667.3239877815,0,0,8.88178419700125e-16
9,0.78535,0.00129836580939272,0.78280520301359,0.78789479698641,60205.6743050799,147.319377661852,59916.9283248627,60494.4202852971,0.789751581322245,0.004401581322245,0.98818,0.07614,0.0770507397437714,0.06252,0.0632678256997713,0.000765579842994838,19237.4552958383,1,0,1.11022302462516e-15
10,0.77618,0.00131804631026379,0.773596629231883,0.778763370768117,60304.80808591,149.772839284595,60011.2533209121,60598.3628509078,0.780508214467713,0.00432821446771259,0.98788,0.062,0.0627606591893752,0.05548,0.0561606672875248,0.00072389204720041,19795.0882550038,0,1,6.66133814775094e-16
11,0.7543,0.00136136516041803,0.751631724285581,0.756968275714419,58963.3316218846,150.356691523206,58668.6325064991,59258.0307372701,0.759841104328757,0.00554110432875687,0.98878,0.05681,0.0574546410728372,0.05361,0.0542183296587714,0.000712291849595375,20526.6942910509,0,0,1.55431223447522e-15
12,0.73137,0.00140167015770473,0.728622726490899,0.734117273509101,55977.8223638145,144.92456458074,55693.7702172363,56261.8745103928,0.73600755063288,0.00463755063288018,0.99107,0.05538,0.0558789994652245,0.054,0.0544865650256793,0.000714730718522717,20618.4132745037,0,0,4.44089209850063e-16
13,0.70347,0.00144429899639929,0.700639173967057,0.706300826032943,52388.4030529642,137.697731066017,52118.5155000749,52658.2906058536,0.711462347411958,0.00799234741195776,0.99323,0.05358,0.0539452090653726,0.05299,0.0533511875396434,0.0007083929693327,20399.6234273249,0,0,1.77635683940025e-15
14,0.68097,0.00147393981932778,0.678081077954118,0.683858922045882,49152.2282919026,130.822610942457,48895.8159744553,49408.6406093498,0.686907477735334,0.00593747773533437,0.99445,0.05489,0.0551963396852532,0.05461,0.0549147770124189,0.00071852451523939,19270.5491875532,0,0,2.22044604925031e-15
15,0.6526,0.00150569997011357,0.649648828058577,0.655551171941423,45884.6256604656,122.32899849207,45644.8608234211,46124.39049751,0.662568030208157,0.00996803020815751,0.99638,0.05534,0.0555410586322487,0.05524,0.0554406953170477,0.000722416378551871,19087.3962220563,0,0,6.66133814775094e-16
16,0.62824,0.00152824900588877,0.625244631948458,0.631235368051542,43129.1883455458,115.562059209093,42902.686709496,43355.6899815956,0.638544110923346,0.0103041109233462,0.99715,0.05633,0.0564909993481422,0.05631,0.0564709421852279,0.000728966281113194,18661.1661748565,0,0,1.55431223447522e-15
17,0.60427,0.00154637565649489,0.60123910371327,0.60730089628673,40738.7026721781,108.476542323681,40526.0886492237,40951.3166951326,0.614899902244968,0.0106299022449685,0.9983,0.05498,0.0550736251627767,0.05497,0.0550636081338275,0.000720751684701465,17611.5897477109,0,0,2.44249065417534e-15
18,0.58331,0.00155903638155112,0.58025428869216,0.58636571130784,38370.6146698266,101.488454955859,38171.6972981131,38569.53204154,0.591685241076689,0.00837524107668897,0.99868,0.05655,0.0566247446629551,0.05655,0.0566247446629551,0.000730425201509367,16918.5761452515,0,0,2.22044604925031e-16
19,0.55982,0.00156978204729192,0.556743227187308,0.562896772812692,36480.7940000931,96.2684950746126,36292.1077497468,36669.4802504393,0.568941066132238,0.00912106613223851,0.99906,0.05719,0.0572438091806298,0.05719,0.0572438091806298,0.000734297650139233,16541.3869401978,0,0,2.88657986402541e-15
20,0.53572,0.00157709886056645,0.53262888623329,0.53881111376671,34375.4530997798,90.0119572025739,34199.0296636627,34551.8765358968,0.546701177383137,0.0109811773831374,0.99946,0.0585,0.0585316070678166,0.0585,0.0585316070678166,0.000742143853979806,16205.7173596992,0,0,3.33066907387547e-15
